,Num_Passengers,hour,ts
741,59,20,312
742,59,21,493
743,59,22,2163
744,59,23,3129
745,60,0,3661
746,60,1,5150
747,60,2,5626
748,60,3,5705
749,60,4,5677
750,60,5,5
751,60,19,33
752,60,20,146
753,60,21,405
754,60,22,1445
755,60,23,2493
756,61,0,3402
757,61,1,4570
758,61,2,5850
759,61,3,5343
760,61,4,5445
761,61,5,5
762,61,20,114
763,61,21,313
764,61,22,1167
765,61,23,1930
766,62,0,2865
767,62,1,4084
768,62,2,4818
769,62,3,5619
770,62,4,5604
771,62,5,7
772,62,19,5
773,62,20,230
774,62,21,292
775,62,22,898
776,62,23,1737
777,63,0,2485
778,63,1,3111
779,63,2,4013
780,63,3,5440
781,63,4,5503
782,63,5,17
783,63,20,188
784,63,21,305
785,63,22,513
786,63,23,1219
787,64,0,2233
788,64,1,2499
789,64,2,3829
790,64,3,5023
791,64,4,5168
792,64,5,2
793,64,20,122
794,64,21,266
795,64,22,404
796,64,23,852
797,65,0,1911
798,65,1,2595
799,65,2,3242
800,65,3,4497
801,65,4,5099
802,65,5,7
803,65,20,63
804,65,21,294
805,65,22,338
806,65,23,730
807,66,0,1655
808,66,1,2536
809,66,2,3245
810,66,3,4533
811,66,4,5269
812,66,20,11
813,66,21,194
814,66,22,331
815,66,23,692
816,67,0,1013
817,67,1,2103
818,67,2,2931
819,67,3,3656
820,67,4,4503
821,67,5,4
822,67,21,109
823,67,22,342
824,67,23,384
825,68,0,818
826,68,1,2222
827,68,2,2787
828,68,3,3623
829,68,4,4230
830,68,5,8
831,68,21,34
832,68,22,169
833,68,23,394
834,69,0,654
835,69,1,1446
836,69,2,2652
837,69,3,3452
838,69,4,4683
839,69,5,5
840,69,22,115
841,69,23,311
842,70,0,453
843,70,1,1221
844,70,2,2239
845,70,3,3006
846,70,4,4115
847,70,5,1
848,70,22,68
849,70,23,262
850,71,0,348
851,71,1,796
852,71,2,1946
853,71,3,2751
854,71,4,3508
855,71,5,7
856,71,22,14
857,71,23,110
858,72,0,109
859,72,1,625
860,72,2,1562
861,72,3,2864
862,72,4,2967
863,72,22,5
864,72,23,127
865,73,0,151
866,73,1,564
